"Ticker","TickerType","Company","Traded","Transaction","Trade_Size_USD","Subholding","Description","Name","Filed","Party","District","Chamber","Comments","excess_return","State","last_modified"
"SRE","ST","SEMPRA ENERGY",2018-04-30,"Purchase","$112.15","NEUBERGER BERMAN - BENEFICIARY IRA","I ALSO BOUGHT SOME ON 4/27/18.","Alan S. Lowenthal",2018-05-22,"D"," CA47","House","",-68.2419486586425,"California",2023-11-16
"CCI","ST","CROWN CASTLE INTERNATIONAL CORP.",2018-04-30,"Sale","$1,001 - $15,000","NEUBERGER BERMAN - BENEFICIARY IRA","","Alan S. Lowenthal",2018-05-22,"D"," CA47","House","",-88.6257136598405,"California",2023-11-16
"AAPL","ST","APPLE INC.",2018-04-30,"Sale","$1,001 - $15,000","MORGAN STANLEY - SELECT UMA ACCOUNT # 1","","Josh Gottheimer",2018-10-02,"D"," NJ05","House","",224.3309017985,"New Jersey",2023-11-16
"PNC","ST","PNC FINANCIAL SERVICES GROUP, INC.",2018-04-30,"Sale","$1,001 - $15,000","TD AMERITRADE ANN IRA","","Gary Palmer",2018-09-29,"R"," AL06","House","",-91.3064030623545,"Alabama",2023-11-16
"SUP","ST","SUPERIOR INDUSTRIES INTERNATIONAL, INC. COMMON STOCK",2018-04-30,"Purchase","$1,001 - $15,000"," MERRILL LYNCH- ADVISOR DISCRETION ACCOUNT","","Thomas Suozzi",2022-12-19,"D"," NY03","House","",-172.11463004923,"New York",2023-11-16
"XOM","ST","EXXON MOBIL CORPORATION",2018-04-30,"Sale","$1,001 - $15,000"," MERRILL LYNCH- ADVISOR DISCRETION ACCOUNT","","Thomas Suozzi",2022-12-19,"D"," NY03","House","",-50.3709111490796,"New York",2023-11-16
"WBA","ST","WALGREENS BOOTS ALLIANCE, INC.",2018-04-30,"Sale","$1,001 - $15,000","WELCH ACCOUNT","","Peter Welch",2018-05-08,"D"," VT00","House","",-162.151622899568,"Vermont",2023-11-16
"MSFT","ST","MICROSOFT CORPORATION",2018-04-30,"Purchase","$1,001 - $15,000","MORGAN STANLEY - SELECT UMA ACCOUNT # 1","","Josh Gottheimer",2018-10-02,"D"," NJ05","House","",251.790286895805,"New Jersey",2023-11-16
"SRE","ST","SEMPRA ENERGY",2018-04-30,"Purchase","$1,001 - $15,000","NEUBERGER BERMAN - TRADITIONAL IRA","I BOUGHT SOME OF THIS STOCK ON 4/27/18.","Alan S. Lowenthal",2018-05-22,"D"," CA47","House","",-68.2419486586425,"California",2023-11-16
"AGN","ST","ALLERGAN PLC ORDINARY SHARES",2018-04-27,"Sale","$15,001 - $50,000","PATRICK ROONEY SR 2015 DELAWARE TRUST","","Thomas J. Rooney",2018-05-14,"R"," FL17","House","",9.37677955729646,"Florida",2023-11-16
